country,indicator,Weeks,value,CWRT,source,month,year
Austria,Sum week hospital occupancy,14,4046.0,-0.036168211588075705,Country_Website,April,2020
Austria,Sum week hospital occupancy,15,5683.0,-0.00564246943344926,Country_Website,April,2020
Austria,Sum week hospital occupancy,16,4941.0,-0.02691464047849723,Country_Website,April,2020
Austria,Sum week hospital occupancy,17,3607.0,-0.043056168608727075,Country_Website,April,2020
Austria,Sum week hospital occupancy,18,2592.0,-0.04936825302668746,Country_Website,April,2020
Austria,Sum week hospital occupancy,19,1919.0,-0.04799154589589705,Country_Website,May,2020
Austria,Sum week hospital occupancy,20,1256.0,-0.048486771585379396,Country_Website,May,2020
Austria,Sum week hospital occupancy,21,939.0,-0.04675027889087602,Country_Website,May,2020
Austria,Sum week hospital occupancy,22,587.0,-0.060068236023966715,Country_Website,May,2020
Austria,Sum week hospital occupancy,23,423.0,-0.037598375789559046,Country_Website,June,2020
Austria,Sum week hospital occupancy,24,439.0,-0.018587369970430423,Country_Website,June,2020
Austria,Sum week hospital occupancy,25,449.0,-0.006834994324289911,Country_Website,June,2020
Austria,Sum week hospital occupancy,26,418.0,0.007110437269545633,Country_Website,June,2020
Austria,Sum week hospital occupancy,27,438.0,-0.008891712386443595,Country_Website,June,2020
Austria,Sum week hospital occupancy,28,492.0,0.012327771298437984,Country_Website,July,2020
Austria,Sum week hospital occupancy,29,577.0,0.019995303961831246,Country_Website,July,2020
Austria,Sum week hospital occupancy,30,625.0,-0.022266773405720475,Country_Website,July,2020
Austria,Sum week hospital occupancy,31,541.0,-0.011220632561240174,Country_Website,July,2020
Austria,Sum week hospital occupancy,32,646.0,0.010530960469907535,Country_Website,August,2020
Austria,Sum week hospital occupancy,33,610.0,-0.04841737378444144,Country_Website,August,2020
Austria,Sum week hospital occupancy,34,661.0,0.0031105400978566067,Country_Website,August,2020
Austria,Sum week hospital occupancy,35,808.0,-0.002570762131525295,Country_Website,August,2020
Austria,Sum week hospital occupancy,36,873.0,-0.009561456793619194,Country_Website,August,2020
Austria,Sum week hospital occupancy,37,1115.0,0.04470873777251594,Country_Website,September,2020
Austria,Sum week hospital occupancy,38,1793.0,0.03961211126013997,Country_Website,September,2020
Austria,Sum week hospital occupancy,39,2330.0,0.028676632454221362,Country_Website,September,2020
Austria,Sum week hospital occupancy,40,2725.0,-0.0030269745156252803,Country_Website,September,2020
Austria,Sum week hospital occupancy,41,2854.0,0.015502275129597232,Country_Website,October,2020
Austria,Sum week hospital occupancy,42,3840.0,0.03912368606429628,Country_Website,October,2020
Austria,Sum week hospital occupancy,43,6005.0,0.07011915573559468,Country_Website,October,2020
Austria,Sum week hospital occupancy,44,9927.0,0.054614582267590084,Country_Website,October,2020
Austria,Sum week hospital occupancy,45,16032.0,0.04794599685748824,Country_Website,November,2020
Austria,Sum week hospital occupancy,46,22616.0,0.038088307301865854,Country_Website,November,2020
Austria,Sum week hospital occupancy,47,27010.0,0.0034530705963604635,Country_Website,November,2020
Austria,Sum week hospital occupancy,48,26324.0,-0.011601257349396321,Country_Website,November,2020
Austria,Sum week hospital occupancy,49,24154.0,-0.019518054665617846,Country_Website,November,2020
Austria,Sum week hospital occupancy,50,21970.0,-0.018570817434748976,Country_Website,December,2020
Austria,Sum week hospital occupancy,51,18853.0,-0.025256804185083026,Country_Website,December,2020
Austria,Sum week hospital occupancy,52,15446.0,-0.022336545993959844,Country_Website,December,2020
Austria,Sum week hospital occupancy,53,13743.0,-0.016148304725346452,Country_Website,December,2020
Austria,Sum week hospital occupancy,01,13820.0,-0.005881417502728747,Country_Website,January,2021
Austria,Sum week hospital occupancy,02,12399.0,-0.022547653674534485,Country_Website,January,2021
Austria,Sum week hospital occupancy,03,11320.0,-0.013793238404562924,Country_Website,January,2021
Austria,Sum week hospital occupancy,04,10335.0,-0.01556623598857132,Country_Website,January,2021
Austria,Sum week hospital occupancy,05,9455.0,-0.016550646440017247,Country_Website,February,2021
Austria,Sum week hospital occupancy,06,8360.0,-0.029153250207947123,Country_Website,February,2021
